"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060326","cell chemotaxis","24/263","330/18860",0.0727272727272727,5.21534739025233,9.18688733256465,4.42356408064856e-11,9.50025438732229e-09,7.08591967593674e-09,"10563/6362/6352/199/11151/56833/4283/6850/1843/3627/240/7422/1236/2833/6279/5800/4739/7852/10451/3148/7941/51192/4067/3082",24
"GO:0050670","regulation of lymphocyte proliferation","21/263","254/18860",0.0826771653543307,5.92886440525733,9.40487395985257,7.13936643260931e-11,1.44810149141426e-08,1.08009011468774e-08,"51237/6352/5788/199/11151/26279/6850/923/604/1026/472/952/942/10451/7805/3559/29108/7305/57162/4208/4067",21
"GO:0032944","regulation of mononuclear cell proliferation","21/263","258/18860",0.0813953488372093,5.83694402688125,9.30286789220288,9.56110814971999e-11,1.83724241340146e-08,1.37033721791278e-08,"51237/6352/5788/199/11151/26279/6850/923/604/1026/472/952/942/10451/7805/3559/29108/7305/57162/4208/4067",21
"GO:0006935","chemotaxis","28/263","474/18860",0.0590717299578059,4.23609439925559,8.48559859091867,1.32826414501393e-10,2.42474619672293e-08,1.80853649639528e-08,"10563/6362/6352/199/11151/56833/4283/6850/1843/3627/240/7422/1236/2833/6279/5800/1794/55848/4739/7852/10451/54910/3148/51571/7941/51192/4067/3082",28
"GO:0042330","taxis","28/263","476/18860",0.0588235294117647,4.21829568329233,8.45717217748452,1.46322417970274e-10,2.54391975242605e-08,1.89742403653684e-08,"10563/6362/6352/199/11151/56833/4283/6850/1843/3627/240/7422/1236/2833/6279/5800/1794/55848/4739/7852/10451/54910/3148/51571/7941/51192/4067/3082",28
"GO:0070661","leukocyte proliferation","24/263","356/18860",0.0674157303370786,4.83445123253728,8.68582683401349,2.11069186756946e-10,3.50278909477096e-08,2.61261237387665e-08,"51237/6352/5788/199/11151/26279/931/6850/923/604/1026/472/952/930/942/1794/10451/7805/3559/29108/7305/57162/4208/4067",24
"GO:0050727","regulation of inflammatory response","27/263","460/18860",0.058695652173913,4.20912547528517,8.28652531479743,3.34072129380496e-10,5.30303193203561e-08,3.95535285449585e-08,"6352/653361/5788/3957/26279/56833/9447/6850/8530/240/2633/604/8870/1236/6279/4318/55872/2268/4792/3559/1075/29108/5336/7941/10062/4067/3082",27
"GO:0006909","phagocytosis","20/263","251/18860",0.0796812749003984,5.71402602517686,8.94093788241714,3.96095814027795e-10,6.02560757089783e-08,4.49429767934169e-08,"5788/199/11151/6850/2210/1445/929/64581/4688/1794/3684/2268/10451/29108/7305/1182/5336/3394/10062/4067",20
"GO:0070663","regulation of leukocyte proliferation","21/263","284/18860",0.073943661971831,5.30257591174423,8.6881511782861,5.62638617725273e-10,7.97172641620577e-08,5.94584215967488e-08,"51237/6352/5788/199/11151/26279/6850/923/604/1026/472/952/942/10451/7805/3559/29108/7305/57162/4208/4067",21
"GO:0022409","positive regulation of cell-cell adhesion","23/263","343/18860",0.0670553935860058,4.80861111419038,8.46533474539316,5.67693472531772e-10,7.97172641620577e-08,5.94584215967488e-08,"10563/6352/5788/3112/199/11151/8613/6850/399/939/240/3108/923/604/7070/1445/1236/942/22890/3559/29108/51571/4067",23
