"x"
"IGKC"
"IGKV4-1"
"IGKV1OR2-108"
"IGKV1-17"
"IGHM"
"IGLJ3"
"JCHAIN"
"IGLV2-14"
"IGK"
"CYP4B1"
"IGLV3-10"
"MMP1"
"CXCL13"
"IGHG1"
"POU2AF1"
"IGHV1-69"
"IGHD"
"SKAP2"
"ADH1B"
"IGLV3-25"
"IGKV1D-13"
"FOSB"
"MZB1"
"NKG7"
"IGLL3P"
"TNFRSF17"
"CCL18"
"SDC1"
"ANGPTL7"
"FAM107A"
"PCK1"
"CD52"
"APOD"
"CCL5"
"GUSBP11"
"MXRA5"
"PLIN1"
"FKBP5"
"DOCK10"
"ZBTB16"
"IGHV3-72"
"NCF1"
"PTPRC"
"ADAM28"
"IGLV@"
"HLA-DQB1"
"ADCY2"
"AQP9"
"MAOA"
"ADAMDEC1"
"LILRB2"
"GDF15"
"IL32"
"SEMA4D"
"LMOD1"
"TRAF3IP3"
"IGKV1D-8"
"NPAS2"
"HLA-DOB"
"TRAC"
"MAFF"
"LGALS2"
"GPRC5A"
"TOX3"
"HK3"
"NFIL3"
"PLXNC1"
"JUN"
"DPEP2"
"NR4A2"
"TRHDE"
"COL1A1"
"ARHGAP25"
"LAMP3"
"RASGRP1"
"TIMP4"
"PTGS2"
"PER1"
"FABP4"
"LEP"
"LCK"
"ATF3"
"TFPI"
"LST1"
"ADH1C"
"LAMA2"
"LILRB1"
"ADIPOQ"
"P2RX5"
"GADD45A"
"RAC2"
"C7"
"ADAM12"
"MYOC"
"GADD45B"
"MMP13"
"MYH11"
"ADM"
"LRRC15"
"UCP2"
"RPS4Y1"
"TOP2A"
"LIF"
"KLF4"
"RRAD"
"SLAMF7"
"AIF1"
"GAP43"
"CORO1A"
"GZMB"
"AKR1B10"
"CCR5"
"RAMP2"
"EIF1AY"
"EIF1"
"TCF7L2"
"CCN1"
"TRAT1"
"RERGL"
"PDK4"
"PPP1R15A"
"STAT1"
"LEF1"
"CEBPD"
"NDC80"
"FOSL2"
"SLC19A2"
"DTNB-AS1"
"FNDC4"
"PTX3"
"SEL1L3"
"HLA-DPA1"
"H3-3B"
"EGR1"
"GFRA2"
"ITGA4"
"LTB"
"ADA2"
"SORL1"
"OSBPL3"
"PLA2G2D"
"RRM2"
"IGHV3-47"
"CD2"
"HLA-DMB"
"KLF9"
"SORBS1"
"SLAMF8"
"APLNR"
"CIITA"
"NOVA1"
"FADS1"
"ATP2A3"
"FAP"
"NR4A1"
"MT1M"
"PLPP3"
"KIF20A"
"LAMA3"
"SDC3"
"FOSL1"
"SEPTIN6"
"GPR65"
"ITGAL"
"MS4A1"
"ASPM"
"CR1"
"CCDC102B"
"FLRT2"
"CXCL6"
"DUOX2"
"PMAIP1"
"AIM2"
"ZEB1"
"IL27RA"
"BTN3A3"
"HAS1"
"MTSS1"
"SLC6A8"
"BMP2K"
"CXCL9"
"RTP4"
"MAGI2"
"CD3D"
"GZMH"
"BCL11A"
"SYK"
"MMP3"
"HBEGF"
"DEPP1"
"SLC12A8"
"GPX3"
"RHOH"
"MYC"
"JUND"
"IRS2"
"SOCS3"
"LDLR"
"JPT1"
"DUSP1"
"APOLD1"
"CXCL11"
"CD37"
"AOAH"
"TGFBR3"
"CRIP1"
"CNN1"
"MAST1"
"PPP1R16B"
"CEP55"
"CST7"
"IRAG2"
"KLRD1"
"EPHB2"
"TNFSF11"
"CXCL5"
"TLR7"
"ACADL"
"AGTR1"
"ADAMTS1"
"FKBP11"
"LPL"
"ARC"
"TMOD1"
"CD27"
"TCEAL2"
"DAZL"
"TLR8"
"ICAM3"
"HLA-DRA"
"TSKU"
"IL7R"
"CXCL10"
"IFRD1"
