"gene","degree","betweenness","closeness"
"PTPRC",150,2830.59864160789,0.00219298245614035
"ITGAM",112,899.716817863022,0.00205338809034908
"CD86",108,1087.27412855671,0.00200803212851406
"JUN",100,2355.3643609737,0.00202839756592292
"VEGFA",98,1417.37490520482,0.00197628458498024
"TYROBP",90,1523.57693250862,0.0018348623853211
"FN1",90,1294.19553609381,0.00195694716242661
"SYK",90,961.611965072543,0.00198019801980198
"CD19",90,449.473588427537,0.00192678227360308
"STAT1",84,1750.54807125549,0.00199203187250996
"IRF8",80,611.332424094718,0.00187265917602996
"BCL6",80,795.634854415158,0.00190839694656489
"MMP9",76,724.264071322528,0.00192678227360308
"CDK1",76,1073.27701446691,0.00175438596491228
"CXCR4",76,528.399240644121,0.00193423597678917
"LYN",76,2035.32652526623,0.00200803212851406
"CCL5",76,377.294961135545,0.00191204588910134
"MKI67",74,1403.02628721595,0.0018348623853211
"PTEN",72,988.478663055075,0.00193050193050193
"NFKBIA",68,1425.43906199704,0.00190114068441065
"CCR7",66,218.992252351957,0.00183823529411765
"CXCL10",66,189.591759968898,0.00181818181818182
"GZMB",64,275.048333389944,0.00181159420289855
"CD2",64,275.506343615438,0.0017636684303351
"TOP2A",64,434.751803011538,0.00166112956810631
"BRCA1",64,1376.98979182737,0.00171821305841924
"CXCL9",62,276.656866065242,0.0017636684303351
"CD38",60,380.104298730063,0.00180505415162455
"CD27",58,127.846041039815,0.00178890876565295
"CXCR3",56,56.913340630415,0.00175131348511384
"CD3D",54,320.140577896024,0.00171821305841924
"RRM2",54,223.586985640987,0.00153609831029186
"PRF1",54,180.995589673491,0.00177619893428064
"IL2RA",52,47.0080072046934,0.00174520069808028
"KIF11",50,40.489847672655,0.00151975683890578
"MAD2L1",50,27.3427358980251,0.00149700598802395
"FGR",50,115.752178967754,0.00168350168350168
"HMMR",50,167.878012235293,0.0015552099533437
"RAD51AP1",48,45.9636594751376,0.00149476831091181
"CD53",48,134.827329962858,0.00168918918918919
"GZMA",48,228.942537220667,0.00173611111111111
"ATM",48,807.181759420782,0.00178890876565295
"THY1",48,102.666325446445,0.00174825174825175
"PCLAF",48,161.443194295651,0.00152671755725191
"CENPF",48,277.768294239809,0.00150602409638554
"C1QA",48,242.180977465867,0.00166944908180301
"ECT2",48,182.736192718319,0.00150829562594268
"MS4A1",48,513.210585233562,0.00168067226890756
"PBK",48,27.3047102893485,0.00151745068285281
"NCAPG",46,136.20979732072,0.00158227848101266
"BLNK",46,242.428077631106,0.00169491525423729
"ASPM",46,91.822310419098,0.00154798761609907
"AIF1",46,242.384624464062,0.0017921146953405
"PTTG1",46,5.04411693949558,0.00145772594752187
"LY86",46,66.0622857804058,0.00166389351081531
"NUSAP1",46,11.2428860399393,0.0014903129657228
"DLGAP5",44,1.85749082552332,0.00145560407569141
"NDC80",44,1.85749082552332,0.00145560407569141
"IGH",44,253.60447661585,0.00173310225303293
"DOCK2",42,92.064276153601,0.00168918918918919
"CXCL13",42,15.8846271500752,0.00168067226890756
"LAPTM5",42,262.905638811341,0.00164473684210526
"CENPA",42,8.01968871890553,0.0014792899408284
"PAX5",42,130.602530977345,0.00168350168350168
"FOXO1",42,271.627403500129,0.00181159420289855
"CDKN1A",42,387.909737361002,0.0017921146953405
"PLCG2",42,176.480213240196,0.00175131348511384
"CD14",40,406.716048633624,0.00166666666666667
"SHCBP1",40,0.0526315789473684,0.00142247510668563
"CKAP2",40,0.402596270552313,0.00142857142857143
"LCP1",40,1349.61793141288,0.00168634064080944
"TIMP1",38,84.9107869745824,0.00168634064080944
"HMGB2",38,84.9086894382207,0.00148588410104012
"ZEB1",38,475.554430746901,0.00173010380622837
"HGF",36,89.6834585070159,0.00168350168350168
"ARHGDIB",34,335.592035971508,0.00168350168350168
"NCF1",34,62.4766574912338,0.00171821305841924
"NCF2",34,354.697121718081,0.00165837479270315
"CORO1A",30,218.304382478232,0.00161030595813205
"BATF",30,91.6803582220437,0.00167224080267559
"CST7",30,51.962429865896,0.00158982511923688
"LYZ",28,88.8353889257762,0.0016750418760469
"CSK",28,79.2405566014178,0.00169204737732657
"PSMB9",28,312.547283835895,0.00163132137030995
"ISG15",28,436.68836382399,0.00162866449511401
"WEE1",28,28.7537453142511,0.00145560407569141
"CCL18",28,63.418912246308,0.00158730158730159
"SELPLG",26,237.00856075314,0.00162866449511401
"SRGN",26,22.5757769098184,0.00161812297734628
"CLEC7A",26,27.5015017965835,0.00164473684210526
"POU2AF1",26,68.4755522229128,0.00159744408945687
"DUSP1",24,82.6979370597257,0.00157977883096367
"ID2",24,182.429890687944,0.00158730158730159
"JCHAIN",24,71.7878606721257,0.00158227848101266
"ATF3",24,69.5863667232455,0.00161290322580645
"EVI2B",24,219.736893422494,0.00158478605388273
"RHOH",24,236.442159781941,0.00165837479270315
"CD72",24,55.0947269725117,0.0016366612111293
"COL1A2",22,132.694575689555,0.00153846153846154
"S100A8",22,17.7470360543888,0.0015527950310559
