"x"
"CCL22"
"LYZ"
"ELL3"
"POU2AF1"
"RGS13"
"MMP9"
"BATF3"
"MYBL1"
"ENPP2"
"IRAG2"
"TCL1A"
"RAB13"
"CTSB"
"CCL18"
"MMP12"
"MS4A1"
"AICDA"
"CCL17"
"ALOX5"
"SORL1"
"BCL6"
"GPNMB"
"CXCL9"
"P2RX5"
"LGALS3"
"TXN"
"MEF2C"
"PTGDS"
"CHI3L1"
"LAPTM5"
"APOC1"
"CSTA"
"SLAMF8"
"FTL"
"SRGN"
"BPTF"
"LMO2"
"IGH"
"BLNK"
"SYBU"
"CCL5"
"STAP1"
"HMCES"
"CD3D"
"GGA2"
"CXCL10"
"DHRS2"
"GPR18"
"ADAMDEC1"
"PSAP"
"STAT1"
"CUL3"
"BACH2"
"PTPRC"
"CD22"
"LPP"
"IL1R2"
"TFPI2"
"TPD52"
"CD79B"
"PLCG2"
"METAP2"
"CTSC"
"C1QB"
"PAX5"
"CEBPD"
"SPARC"
"IGFBP7"
"SWAP70"
"OSBPL10"
"TASOR2"
"NEIL1"
"CCR7"
"CEBPB"
"NUSAP1"
"VIM"
"CUX1"
"EZR"
"RUBCNL"
"ASB13"
"LAT"
"VAMP1"
"TCEA1"
"ACADM"
"FTH1"
"RASGRP3"
"SEL1L3"
"CD63"
"DRC9"
"STOM"
"IRF8"
"IER3"
"MGST3"
"MBD4"
"TMSB10"
"PHLDA2"
"CD44"
"IL2RA"
"GPX1"
"CR2"
"CCND2"
"NNMT"
"LGALS1"
"IGHD"
"SPEN"
"SUB1"
"RRAS2"
"MT2A"
"CCNG2"
"DCK"
"CLIC4"
"PSIP1"
"FANCA"
"UBE2J1"
"BANK1"
"DEK"
"GLUL"
"FOXO1"
"ARHGEF7"
"SEC62"
"CYP27B1"
"LSM14A"
"CCNI"
"TRAF5"
"HMGN1"
"WIPF1"
"LBR"
"VNN2"
"MAFB"
"PPP2R5C"
"LOXL2"
"UPF3A"
"PTK2"
"TUBA1A"
"CXCL13"
"RFTN1"
"USP1"
"TOX"
"BLVRA"
"GZMB"
"SLBP"
"JAK1"
"USP34"
"TMT1A"
"LANCL1"
"STK17A"
"NPC2"
"PDGFD"
"PPP1CC"
"SLC15A2"
"CDKN1A"
"HMGB2"
"FAM3C"
"MBD2"
"GNS"
"HMMR"
"ST6GAL1"
"PRPSAP2"
"FNBP1"
"CYFIP2"
"SYK"
"ADGRE1"
"ITGAM"
"YBX3"
"NR1H3"
"BLK"
"NUP88"
"HIF1A"
"MATR3"
"PIP4K2A"
"ZBTB32"
"TMEM131L"
"RABGAP1L"
"STX7"
"NGLY1"
"MDFIC"
"TIMP1"
"WARS1"
"ID2"
"NR3C1"
"ELK3"
"FAM30A"
"ENTPD4"
"SLC38A1"
"CTSK"
"LAT2"
"HMGN2"
"MICU2"
"BCLAF1"
"LGALS2"
"RRAD"
"TNFAIP3"
"IGHM"
"NFKBIA"
"CDK19"
"UBE2G1"
"ZMIZ1"
"ANXA2"
"DUSP1"
"PRDX4"
"MAP4K4"
"TSPAN13"
"LAMP1"
"PNOC"
"ASPM"
"ACAP2"
"MAF"
"CDKN2C"
"EIF4G2"
"SMC4"
"ELOVL5"
"H2AZ2"
"MICAL2"
"SYNE3"
"CYFIP1"
"PLEKHF2"
"ATOX1"
"SON"
"SNAP23"
"BUB3"
"SH3BP5"
"EPS15"
"ERBIN"
"CROCCP2"
"FGD6"
"IGSF6"
"GBP2"
"LYPLA1"
"PAPOLA"
"SPRED2"
"LITAF"
"CLU"
"CD2"
"HLA-A"
"ARID4B"
"KIF11"
"SMARCA4"
"LMNA"
"NIBAN1"
"CFLAR"
"SPG11"
"RGL1"
"TOPBP1"
"TRMT5"
"DCP2"
"CDK13"
"CD53"
"SKAP2"
